"Year","Author(s)","Method/Approach","Key Contribution"
"1964","Gotlieb","Integer Programming","First mathematical formulation of timetabling"
"1985","de Werra","Graph Coloring","Graph-based timetabling model"
"1991","Burns et al.","Constraint Logic Programming","CLP approach for school timetabling"
"1995","Colorni et al.","Genetic Algorithm","First GA for university timetabling"
"1998","Burke et al.","Hyper-heuristic","Selection hyper-heuristic framework"
"2001","Socha et al.","Ant Colony Optimization","ACO for timetabling problems"
"2003","Beddoe et al.","Particle Swarm Optimization","PSO application to timetabling"
"2005","Lewis et al.","Meta-heuristic Survey","Comprehensive review of methods"
"2010","Geem & Hwang","Harmony Search","Music-inspired optimization"
"2015","Kheiri et al.","Hyper-heuristic","Sequence-based selection hyper-heuristic"
"2020","Recent Trends","Deep Learning + RL","AI-based timetabling approaches"
