"Symbol","Description","Symbol","Description"
"C","Set of courses","T","Set of teachers"
"R","Set of rooms","K","Set of classes"
"S","Set of timeslots","Task_i","Teaching task i"
"time_i","Timeslot assigned to task i","room_i","Room assigned to task i"
"cap(r)","Capacity of room r","size(k)","Size of class k"
"pref(t,s)","Teacher t preference for slot s","F(x)","Fitness function"
"P_hard","Hard constraint penalty","S_soft","Soft constraint score"
"U_room","Room utilization rate","U_time","Timeslot utilization rate"
"w_h","Hard constraint weight","w_s","Soft constraint weight"
"p_m","Mutation probability","p_c","Crossover probability"
