"Method","Endpoint","Description","Parameters"
"POST","/courseTable/generate","Generate schedule","-"
"GET","/courseTable/list","List all schedules","-"
"GET","/courseTable/{id}","Get schedule by ID","id"
"DELETE","/courseTable/{id}","Delete schedule","id"
"POST","/courseTable/runComparison","Run algorithm comparison","name"
"GET","/courseTable/convergence","Get convergence data","-"
"GET","/courseTable/history","Get experiment history","-"
"GET","/task/list","List all tasks","-"
"POST","/task/add","Add new task","task"
"PUT","/task/update","Update task","task"
"DELETE","/task/{id}","Delete task","id"
"GET","/teacher/list","List teachers","-"
"GET","/room/list","List rooms","-"
"GET","/class/list","List classes","-"
"GET","/user/checkLogin","Check login status","-"
